사용자,평점,댓글 내용
토라,4.5,"신나는 추격전, 피칠갑의 향연, 뻔하지만 약간의 반전이 가미된 이야기, 권선징악 해피엔딩 액션영화.
이거면 된거 아닌가? 배우 김선호의 새로운 모습까지.
난 너무너무 재밌었다.
기대 안하고 봐서 더 재밌던 것 같다."
unknown,3.5,훈정이 브이아이피로 여자들한테 욕한번 거하게 먹더니 마녀에 이어서 비엘영화까지 찍어버리는거 개웃김
민봉,3.5,정찰제야 ~
돌파댕이,1.5,만드는 중에도 이게 뭔가 싶었을 듯. (230622)
정웅기,2,박훈정의 색깔은 항상 확실했다. 이것도 같은 색일 뿐.
2022,3.5,아니 비엘계에 있어야 할 인재가 왜 영화판에서 감독 하고 있는건데…영화의 모든 문법이 성인동 시절 비엘이라서 개놀랬네….
석재현,2,김선호의 살인미소로 118분 분량을 뽑아내는 것도 능력. 그가 없었다면 이 영화는..
rememberfilm,1,겉멋에 찌들은 의미없는 담배처럼 수년째 방황하고 있는 감독의 중2병
누리,4,"이 과한 나르시시스트의 액션을 보고있자면, 캐릭터 하나만은 극호였던 <악녀>에서 웨딩드레스를 입고 총을 쏘는 김옥빈의 모습이 떠오르고, 그거 하나로 구린 서사가 다 덮어지는 묘한 재미를 느꼈음."
Arenios,3.5,"이 영화를 보고
실망했다면 '신세계'를 기대하고 본 것이고,
만족했다면 '존 윅'을 재밌게 봤다는 것이렸다!?

•2회차 관람 후
확실히 '존 윅'보다는 한 수… 아래인 듯. 아니 근데 그 수많은 엽총 든 부하놈들… 처음부터 칼이나 연장을 들지, 쏘지도 맞추지도 못할 총은 왜 들고 있는겨!?
.
.
.
2023. 6. 21. 수. CGV 연남 4관 F열(1회차)
2023. 7. 7. 금. 롯데시네마 신림 4관 G열(2회차)"
오쥐,2,뭐하자는건지 모르겠음 진짜
환야,2.5,종합운동장 대관한 뒤 제기차기
서현,4,"마냥 선한 얼굴을 가진 김선호 배우의 맑은 눈의 광인 연기. 미쳤다. 귀공자라는 이름이 참 잘 어울린다. 능청스럽게 달리고 총쏘고 대사치는 연기 참 잘해서 영화의 재미를 놓치지 않는다. 마르코 역의 강태주 배우도 낯선 얼굴인데 연기를 참 잘한다. 반전도 좋고 특히 마지막 20분을 위해 영화를 달려온 느낌. 얼굴에 잔뜩 피 묻히고 하는 그의 액션 연기 참 좋다. 그리고 스친 총알에 아프다고 징징거리는 능청스러움. 사랑스럽고 귀엽다.
+ 내가 누구냐고? 친구.
+ 정찰제야.
+ 장르물에서의 김선호 배우도 더 기대된다. 이마의 핏줄까지 연기하는 그의 연기. 연기천재.
+ 마지막 반전 최고."
MOON,3.5,"귀공자 가라사대 프로는 프로다.

정말 하나도 안 심각하고 어둡지 않고 개그 가득한 느와르다.
김강우 첫 등장에 카리스마 쩔다가 점점 무너지는게 개인적으로 제일 웃김."
마뮤렌2,3,능글한 성격에 프로 정신과 유머를 얹어서 겉멋 든 캐릭터라는 걸 대놓고 보여주는 것도 나쁘지 않다
김민석,4,"흑화한 홍반장
/ 느와르인 줄 알았는데 코미디였네"
기록,3.5,"일단 서사를 어느정도 쌓는데 생각보다 오랜 시간이 걸린다.

그래서 얜 뭐야..? 얘는 누구? 왜 이래? 이러면서 계속 보게 되었다.

연기력이 살짝 부족하다고 느껴지는 배우들도 있었고, 예능이나 옛날 드라마에서의 이미지 때문에 이질감이 느껴지는 배우도 있었다.

대사들도 뭔가 영화 대사가 아니라 일반인들이 그 상황에서 대화할만한 현실적이라고 느꼈음.

짠! 사실은 이러이러합니다.x2 이렇게 끝나는데 나는 나쁘지 않았지만 싫어하는 사람도 있을 것 같다.

당연하겠지만 전체적으로 마녀스러운 분위기가 살짝 느껴진다."
로즈버드,3.5,"후까시 하나는 예술의 경지.
각본에 대한 애정 탓인지 쳐내야 할 대사를 쳐내지 못한다"
장학우영광,2.5,"어설픈 코믹버전의 '황해'를 '마녀'스럽게 만들었는데, 익숙한 맛은 즐길 수 있지만 어설프고, 코믹하지 않다."
jynnie,2.5,"좋은 전개, 아쉬운 결말.

박훈정감독 특징이라고 할 수 있는
은근히 초호화 캐스팅에
적절한 타이밍에 순차적으로 등장시키는
구조는 이번영화에도 여전하며
앞으로 어떻게 전개될지 예측이 쉽게
되지 않으면서 흥미진진하게 만든다.

결국 마지막 1대 다수의 총격전을 위해
모든 서사가 달려갔다고 봤을 때,
정작 그 하이라이트가 제대로 연출되지
못한것 같아 아쉽다.

존윅의 액션이 좋은 이유중 하나는
1대 다수의 끝없는 액션들 속에서도
존윅이 어떻게 적을 제압하는지,
적의 공격은 어떻게 막거나 피하는지가
전부 눈에 들어온다는 점이다.

그런의미에서 귀공자는 거시적으로
주인공이 적의 공격을 막고
처리해가는구나 라고 느껴질 뿐
제대로 눈에 들어오지 않는다.

정작 마녀에서는 뮤턴트들이 엄청난
스피드와 하늘을 날면서 액션을 펼쳐도
눈에 들어왔었기 때문에도
아쉬운 부분이다.

김선호의 멋진 외모와 연기력은 좋으나
그의 입에 딱 달라붙은 좋은 대사들이
주어지지 않은 점도 아쉽다.

그래도 계속해서 청불액션을 선사해주는
박훈정감독을 응원한다."
nono,2.5,"좋다고는 말 못하지만 기대치를 내리면 어느정도 즐겁게 볼 만한 오락영화

그리고 청불답게 수위는 높지만 영화의 톤 자체는 생각보다 가볍다 유머 장면도 많고.."
칼루스,2.5,김선호가 아무리 사람을 담궈도 그냥 깐죽거리는 것 밖에 기억이 안난다… 코미디언이 이 악물고 사이코 살인마인 척 하는 느낌? 후속작을 염두에 둔 것이 뻔히 보이는 어정쩡한 결말도 마음에 안 든다.
흐시,3.5,3.7
무비갓,4,"<마녀> 1편처럼 등장인물들의 정체가 궁금해지게 만드는 미스터리한 전개로 펼쳐져서 몰입하게 만든다.
난 이런 식의 전개가 취향인 것 같다."
준아,4,"한바탕 하는 게 시작이고 끝이 더 기대된다
좀 더 응원하고 싶게 마음을 건드는 시리즈"
한민영,3.5,스포일러가 포함되어 내용을 생략했습니다.
쒜임,3.5,"생각치못한 곳에서 웃음포인트가 있다. 잔인한 장면을 많이 보여주지 않고 시원하게 죽는다(?) 약간 영화가 너무 친절한면이 있으나 가볍게 보기 좋았다
+++쿠키있어요"
Seo in,4,"액션 코미디로 생각하면 별 4개
느와르 액션이라고 생각하면 별 2개"
댱오니,3.5,"거슬리는 저퀄리티 연출이 분명 있지만, 서스펜스를 잘 살리는 장기만큼은 인정"
양대찬,2.5,한때 유망했던 감독의 날개없는 추락. 김선호라는 나뭇가지에 걸린덕에 겨우 생을 부지한 정도.
김상우,3.5,"빈틈없는 액션신과 약간의 유머
그리고 고아라씨의 연기는 아직 유노윤호와 머무는듯하다."
뮤이,3.5,"김선호 다시 띄우기 성공할 영화
액션이 너무 판타지지만 중간중간 웃기는 게 환기시키는 역할을 하는듯

(23.6.16 시사회)"
천용희,2.5,"1. [마녀]의 귀공자 캐릭터에서 초능력만 빼고 나머지를 싹 다 가져다 주연으로 만든 다음, [낙원의 밤]의 느와르를 가장한 잔혹 유머로 치장한 영화. 희안하게도 후반으로 갈 수록 좋아지긴 한다만, 그럴 거면 영화를 90분 내외로 줄였어야 효과적이었을 거다.

2. 김선호는 저 희안한 캐릭터를 참 경악스럽게도 잘 살려낸다. 그러나 악역인 김강우는 각본에 쓰인 그대로만 연기하면서 자폭하고, 아예 고아라는 공짜로 돈 벌러 온 기세를 보여준다. 그나마 신인배우들이나 주위 조연들이 노력도 안 했으면 저 둘이 영화를 제대로 말아먹었을 거다.

3. 이제 박훈정도 슬슬 [신세계]의 성공의 그림자서 벗어나야 하지 않을까. 자신이 가진 능력 외의 것을 자꾸 탐할 수록 남는 건 아무 것도 없을 테니까."
한길,1,죄도 없이 벌을 받는 기분.
Lj,2.5,"고아라는 어색하고
김강우는 뻔하다.
하지만 김선호."
🖤🩶🤍,2,겉멋만 잔뜩
루케씨네,3.5,후반부에 몰아치는 피칠갑 액션(이 끝)
응도,0.5,"김선호는 뭐 초사이언이야? 능력치가 말도 안 된다;;

너무 말도 안 되는 능력치를 갖고 있길래
당연히 진짜 무슨 능력이 있는 줄 알았다.
근데 없네? 진짜 황당무계……

역대급으로 오글거려서 죽는 줄 알았다.
진짜 처음부터 장난치는 건가 싶을 정도로 오글거려서...

예상 없이 툭툭 튀어나오던 개그는
2016년에 머물러 있는 느낌.

스토리를 풀어나가는 과정도 이렇게 엉망일 수가 없다.

스토리 라인이 얼른 이해가 되어야 재미가 있을 텐데
영화의 중후반까지는 대단한 비화가 있는 것마냥
자기들만 아는 떡밥만 잔뜩 뿌려놓고선

영화의 남은 시간이 얼마 없으니
급하게 한 명의 대사로 쭉 설명해 주고 치우는 듯한…

그런 만큼 당연히 와닿지도 않고, 감동도 없다.

그나마 참고 볼 수 있었던 이유는
마르코의 표정 연기 덕분이다."
𐒎𐒃𐓓𐒆,3.5,"혈투가 낭자한 활극, 그 이상을 기대하지 않은 게 다행이었을지도… 마르코라는 캐릭터가 ‘거래의 수단‘ 정도로만 소비되기보다는 좀 더 능동적인 캐릭터였으면 하는 아쉬움이 들었다.

귀공자 그 자체인 김선호와 서슬퍼런 재벌집 첫째아들 김강우의 연기 호흡이 영화 내에서 가장 흥미로웠던 부분이었다고 생각한다. 관객 반응도 그쪽에서 많이 터졌고. (단지 내 기준에서는 피가 너무 많아서 조금 보기 벅찼다…)

p.s.
같이 간 친구가 처음에 ‘귀공자, 김선호, 고아라’만 보고 로맨스영화인줄 알고 봤는데 오프닝부터 너무 무서웠다구ㅋㅋ 난 왜 이런 썰이 더 기억에 남지 ;p"
John Doe,N/A,#NAME?
열이아빠,3.5,"추격신은 뭔가 긴장감은 없다. 장면 장면이 끊어지는 느낌이 강해서.
캐릭터는 잘 만들어졌지만 뭔가 잘 어우러지지 못한다. 원톱인지 쓰리톱인지 애매한 느낌.
이번 작품이 성공해서 시리즈로 갈 수 있다면 다양한 시도는 해 볼 수 있을 듯.
참고로 번리는 올 시즌 프리미어 리그로 승격했다(2017년 8월이 첼시 상대로 승리한 마지막 기록이긴 하지만...)"
Theo,2.5,"다른 건 모르겠고, 김선호 배우가 이 영화에 캐스팅이 되고 나서 기분이 정말 좋았을 것 같다는 생각이 든다. 김강우 배우는 말할 것도 없이 캐릭터 그 자체였고⋯.

영화는 그냥 생각없이 큭큭거리며 가볍게 보기 좋다."
최삼영,3.5,미소가 미소다
헵번공주,4,"5/16(티저예고편 나옴)

https://youtu.be/mfvHd1OsRLc

김선호 스크린 첫 데뷔작."
HISUTORY,2,미친놈
현승윤,4,아무 기대없이 영화관에서 봤던 영화인데 의외로 재밌었다. 스토리는 별로였던거 같은데 김선호가 연기를 너무 잘해서 김선호 연기에 빠져서 시간이 훅 간 듯
학의나래,2.5,"문제를 내는 방법은 기출패턴이고
푸는 방법은 원툴이다...
* 영화적 허용을 넘어서는 영화적 만용
** 전편에서 본듯한 내지는 어디서 본듯한 자가 복제적 캐릭터들"
한태성,3,"'하나, 둘, 셋에 뛰랬더니 끝까지 이러네' 영화 자체가 이 대사같음
그래도 워낙 평이 구려서 기대감이 아예 없었다보니 반사이익으로 괜찮게 봄
얼척 없어서 웃은것도 웃은걸로 카운트 되니까?"
박평식,4.5,칸영화제에 가지 않은 것이 의문입니다
kyu,2,그만해... 신세계 어떻게 만든거야
소녀매향,3.5,매력적이고 깔끔하고 앞뒤가 다른 사이코에게 감겼다
제환우,2.5,"더 잔인했으면 좋은데 김선호가 좋고
더 재밌었으면 좋은데 김선호가 좋고
더 스토리를 잘만들었으면 좋은데 김선호가 좋고
반전이 어이가 없는데 김선호가 좋다"
최지웅,2,"박훈정의 나불나불

(징글징글한 감독님의 담배사랑)"
동건,1,2024년 최악의 영화
offcentered,0.5,"어디서 보고 베껴도 3류 영화의 기질은 숨길 수가 없다.
투자를 지속적으로 받는다는게 가장 미스터리.."
이원빈,2.5,영화 안팎으로 스멀거리는 빈부격차. 그 속에서 다 챙겨먹는 배우 김선호.
스탕달고나,1,"고장난 시계도
하루에 한 번은 맞는다

그 한 번의 신세계는 끝났으니
이젠 안녕..."
김재박,2.5,이 정도면 이제 그냥 박훈정 스타일이라는 것을 인정해줘야 할지도...
김윤혁,2.5,목적없는 혼잡스러움에서 김선호의 착한 마스크가 돋보였다 나름 매력있네 라고 생각하며 봤다. 김선호의 안타까운 가십이 아니었다면 후속편이 나왔을 영화. 다만 혼잡스러움이 산만함에 가깝다
Jeongpyo Lee,1.5,더이상 차기작이 기대되지 않는
보보,3,"생각보다 취향에 맞아 대략난감.
2024년 2월 11일에 봄."
윤태영,1.5,감독은 중2병 유전자가 있는게 분명하다.
제히,1.5,뚜벅이 마르코의 눈물나는 한국여행기
dogggy,3.5,"- 이야기가신선하긴하다
- 튀긴하지만원래그런캐릭터라생각하면뭐그렇게크게거슬리진않는다
- 박훈정영화의캐릭터들은죽어가면서도허세에쩌는대사나유머를즐겨구사하기에감독의취향이듬뿍(!)투영된캐릭터가귀공자일듯
- 아저씨이후에오랜만에다대일액션에서짜릿한느낌을받은마지막액션신도괜찮았음"
혜원,1,"뭐라는지 하나도 모르겠음
개뒤죽박죽"
리미엔,3.5,"엉성하긴 하나, 지루하진 않다."
익사잇힝,2.5,"msg로 점철된 그런맛....

근데씨...재밌다 불량식품은 맛있나보다.

김선호가연기한 인물도 진짜 말도안되고 개억지스러운데 뭔가 호감이간다."
방구석무명인,4,"박훈정 표 화끈한 액션, 적절한 반전"
yondu_95,1,콘셉트만 있고 구심점은 없으니 불쾌한 장난으로만 느껴진다.
인생은 영화와 같다,2.5,라면물 올려서 기포가 한 두방울 올라올 때마다 감독이 가스레인지를 꺼버리는 그 기분.
후후,3,"볼 때는 그저 그랬는데 시즌2 나오면 보러갈 의향 있음...
귀공자 자체가 2차 창작 맛도리 캐해 다 가지고 있음. 감독님은 어쩌면, 어라라...?
캐해석을 할 거면 끝까지 해주시라고요. 과거 가져와!!!!!!!
근데 나는 한 이사도 진짜 좋았다...?"
Yumin Yun,2.5,어수선하다 그래도 액션신은 좋았다
하하뷘,0.5,이 감독님 제작비는 따로 빼놓나요? 신기하네
김황신,4,재밌는데? ㅋㅋ
소마크,3,박훈정 유니버스의 캐릭터들이 한 영화에 모인다면?!
이초록,2,김강우가 연기를 잘해서 2점 줬다.
레오딥,3.5,3.3
영더기,3.5,내가 박훈정 감독의 스타일을 좋아하는 편이라 꽤 재밌게 봤다. (하지만 신세계 때의 박훈정은 이제 없는 건지...)
초코송이,1,이 영화 만들 돈과 에너지로 다른 일을 해라
하드보일드 센티,1,"좀 가벼운 <황해>를 기대했건만 갈수록 적응이 안된다. 주인공을 잘못 알아본 탓도 있지만, 진지함과 경박함이 자리를 잘못 잡고 지겨운 피칠갑만 남발한다. 나쁜 의미로 너무 쉽게 간다."
김윤경,3,3.1
Craig00se7en,3.5,단순했지만 재밌게봤다. 김선호 배우 연기도 좋았고 캐릭터도 잘 잡은것 같다. 시리즈화 된다면 계속 볼것같음.  -20231008-
김김이,3,"김선호 캐릭터 하나 보고 나머지를 끼워맞춘 영화 같았다
하지만 그만큼 매력적이었던 캐릭터..!"
콩순,3.5,사람들 혹평하길래 기대 하나도 안 하고 갔는데 의외로 괜찮고…?? 의외로 재밌어서…?? 너무 놀랐음… 내 취향이 이렇다니
아츠라,0.5,개구림
indie_media_sem,2.5,"귀공자가 주인공였어? 반전이 대한 예시는 줘야지.. 마지막에 그렇게 갑자기 귀공자가 모두 짠 판에서 놀아났다. 라고 해버리면 좀 당혹스러움.이거 보고나서 예전에 급반전 영화로 폭망했던 영화""퍼즐""이 생각남.."
임루피,2,"신세계 코빼기도 안 보이는 영화
아 달리기 추격신은 나름 볼만했을거다
그의 얼굴이 김선호 아니었으면 진작 망했을..."
고분자연구실,2.5,마녀 김선호 버전
지극히 개인적인 영화취향,2.5,여전히 뻔하고 자극적인 맛이지만 저번보단 좀 낫다.
hardcore hands,2.5,박감독 작품이었구먼~액션은 좋네잉
꿀지니,1,"모두에게 실망이 크다,,,, 감독부터,,,, 김강우씨한테까지,,,,,,,."
노근우,2.5,"부실한 스토리를 길게
멋을 강요한다."
세휘,1,"이제 더 이상 기대되지 않는 박훈정..
김선호 김강우 잘생긴거 말고는 아무것도 없는 영화"
미순,0.5,김선호 누가 자꾸 써주는거지...
Sooin Lee,2,"이 영화가 매력적이지 않은 이유
1. 영화에서 말하고자 하는 주요 메시지 부재.
2. 러닝타임 30분 동안 별다른 의미없는 영상미만 감상하도록 만듦으로써 도입부의 역할 실패
3. 사실상 주된 시점이 되는 인물(주인공)이 없을 거면, 전체적인 인물의 시점이나 입장을 보여줘야 함에도 불구하고 그것이 러닝타임이 1시간쯤 이르렀을 때에야 윤곽이 드러나는 점
4. 제목과 전혀 연관성이 없는 점

열거하려면 열 가지도 더 적겠지만, 디스는 여기까지.."
동하,2,"여전히 새롭지 못하고
여전히 성의없고
여전히 허세 뿐이다"
다크나이트,1.5,피와 총이 난무하는 허세 액션에 매료된 사춘기 소년의 정신세계를 반복해서 그려내는 중인 박훈정의 걸음. 무얼 찍고 무얼 얘기할 지가 사라진 창작자의 모방과 반복.
남포동풍악,2,"박훈정은 이제 B급 영화 전문 감독이구먼
김강우는 왜 나왔지 이런 영화에 ㅜㅜ"
hong,2,왤케 멋을 부렸지? 연기에 다들 힘좀 빼지
강계민,2,우리 감독님도 프로인데 왜 영화를 이렇게 만드셨을까
잉어,1.5,캐릭터도 네러티브도 플롯도 두꺼울 재간 없는 얄팍함
홍사장,2,"이제는 필름이 아닌 특촬물로 보일정도의
밋밋함과 겉 멋든 허술함"
김승환,2,"이런 제목과 내용일 이유가 있냐
230731"
하준우,2,감 잃었나진짜
prauda223,1.5,엉망진창
FAKYE,2,고아라는 나레이션이야 머야?
ㅁㄴㅇㄹㅎ,N/A,하여간 똥폼들만 신나게 잡아요
SNOTA,2.5,영화에 색을 입히는 김선호의 마력
박지상,1,"프로님 이 영화 프로님이 한 번 손 좀 봐줘야겠어요?
천만불이면 될까요?"
왕밤빵,2,스포일러가 포함되어 내용을 생략했습니다.
김병정,3,"분명 고퀄은 아닌데, 스타일은 확실해서 좋다"
공민영,2,"1. 마녀 인간버전
2. 이정도 스토리를 굳이 중간에 서사를 길게 넣으면서 풀어야했나 의문
3. 김선호 캐릭터만 매력적이고 나머지 캐릭터는 글쎄.."
이소,2.5,'마녀'같은 김선호가 '마틸다'포지션의 마르코를 데리고 존윅 느낌의 '레옹'을 찍다가 좋은 엔딩곡만 남겼다
윤성수,0.5,결말을 알고나니까 더 화가나는 영화는 처음이다. 중간에 왜 멈추지 못했을까....
GREGORY,2.5,일종의 사기극
류영선,1,"엉성한...
첩형쌍웅 이후에 마구 쏟아져나온 이제는 뒤안길로 가버린 홍콩 느와르를 보는 느낌.

개연성 없는 한국영화는 홍콩영화보가 못하다."
Kbu,1.5,훈정이형 거 장난이 너무 심한거 아니요
영화잡식주의,2.5,"신세계와 마녀 그 중간쯤 어딘가
-
김선호배우 순한 얼굴에 능글맞은 연기 생각보다 잘하네
근데 비오는날 무릎 좀 쑤시겄어"
박성준,2,자꾸 영화를 찍어내는 걸 보니 인맥은 좋은가 봐
JangJunyoung,2,"김선호가 돈주고 찍은건가.
아.. 박훈정은 스토리없는 영화만 찍는 감독놈이였구나"
산딸기,2,예상했던 그만큼.
mcinre,2.5,"기대보다 괜찮은, 그렇지만 뭔가 묘하게 불편한... 김선호의 재발견."
kh3,1.5,가오 잡는데 한이 맺혔나
다루끼오비끼,1.5,한국형 느와르 영화 여기서 잠들다..
kouwabatke 30,2.5,"김선호 미친 캐리와 간간히 보이는 유머는 좋지만, 전체적으로 부실한 느낌이 여간 약한게 아니다.

230720"
gurenaru,2,"흥미롭게 시작해 속절없이 무너지는 시나리오. 뼈대는 박훈정 감독답다. 구덩이에 빠진 나약한 주인공이 힘겹게 기어오르는 모습 관찰기인데 김선호 캐릭터 자체가 맥거핀이 되어 관객들에게 끊임없는 짐작을 요구하며 홀로 초월적인 존재감으로 <마녀>의 인물상을 가벼운 터치로 재연한다. 절대악으로 표현되는 김강우와 자본가들은 위엄 없이 살기만 가득하고, 고아라와 여고생 캐릭터는 미스 캐스팅이자 무리수 그 자체로 여성도 남성도 아닌 어설픈 장식에 불과하다. 마지막으로 주인공인 코피노 청년은 2시간 내내 육체적 정신적으로 학대당하다 끝나는데 감성은 드러나지만 미비한 감정 표현 덕에 연민을 갖기도 애매한 지점에서 눈만 깜빡거린다. 결과적으로 그 어떤 존엄도 없이 관객에게 죄의식을 전가하려는 감독의 새디즘 희생양.

'액션은 볼만하지 않았냐' 하는 의견도 있겠지만 액션영화라기엔 이야기의 수식이 잘못 되었고, 느와르라고 하기엔 미성숙한 폭력 파티. 기실 중반 이후부터는 액션과 이야기가 전혀 서로를 돕지 못한다. 가장 비극은 클라이맥스인 저택 시퀀스인데 문지방을 들어서는 순간부터 모든 대사가 민망할 정도로 오글거리고 끔찍할 정도로 더딘 리듬 위에 과녁 잃은 총질과 욕지거리가 난무한다. 이 모든 재앙이 지닌 이유를 설명하는 반전 역시 영화적으로 적당히 포기한 공배 메우기.

감독이 추구하는 메시지나 카메라 미학은 다분히 느껴지나 맞지 않은 조각들만 잔뜩 가져와 그럴듯한 그림을 완성하는데는 실패했다."
호두,0.5,😆👍
철성,1.5,"거품이라는 걸 쇼앤프루브 해버리는,,"
roro,2.5,별 내용은 없는듯해 보이고.. 코피노역할 잘하고.. 김선호 잘생기긴함
배영서,1,"김선호 연기는 좋다.
하지만 영화의 대사, 연출이 촌스러움 그자체"
예죽이,2,주인공과 감독의 쓸데없는 멋부리기가 8할
다이나믹,0.5,한국영화는 어디서부터 잘못된 걸까?
불쭈꾸미,2,다들 가오 디지게 잡는다
와와햄,1.5,"김선호가 테일즈런너 함
마지막 액션은 볼만함"
bachgram,2,박훈정표 또 하나의 마녀 판타지
레트,2.5,훈정 감독은 줏대 있게 본인 하고 싶은 거 하고 파고 싶은 거 파는 오타쿠다..
안현표,2,김선호 말고 뭘 볼 수 있지?
앞구르기,2,"아무래도 내가 박훈정 감독의 작품을 좋아하지 않나보다..ㅠㅠ 특히 점핑점핑 하는 거 .. 아무리 봐도 나의 항마력은.. ⭐️
평점도 높고 지인들의 후기도 좋아서 관람했는데 그저그랬음.
그래도 스토리는 신선해서 괜찮았다."
이혜원,1.5,"아무런 이유없이 아군임을 숨기고 굳이 위험해짐
티비로 이 영화 틀어놓고 폰으로 유튜브보기 좋을듯. 그래도 내용 다 알수있을정도.
모든 대사와 서사가 너무 뻐어어어어어언함

배우들의 연기가 아깝다"
니뺨을쳐,2.5,혐오스런 마르코의 일생
김석순,2,무엇을 노렸을까
세종,2,"박훈정 감독은 이제 그 말투 압수!!
허세 이제 압수!!!!
액션도 압수!!!!!!
클리셰도 압쑤!!!!!!!!!!!
제주도에서는 이제 그만 찍어

멋있다고 생각하는건 이제 다 그만하세요. 제발

“10초 줄게. 도망가면 살려줄게” 장면은,
벌판과 장총 나올때부터 이미 다 알 수 밖에 없었거든요.. 근데 그 장면을 10분 동안 보여주면 어떡하나요…

제발… 본인 머리에서만 영화를 만들지 말아주세요..
아니 그냥 영화를 만들지 말아주세요…"
솔__,2,"김선호의 연기는 오글거리고
스토리는 굉장히 빈약하다
살아남은 건 오직 강태주"
수땡,1,"23.06.25. SUN 연경cgv
유머감각이 없으면 유머를 빼면 되는건데,"
띠용,2.5,마르코의 수난시대...
SooooodaL,1.5,"대륙의 실수 샤오미, 박훈정의 실수 신세계."
하하하진,3,"<마녀>급 전투력의 주인공이
<낙원의 밤>의 불치병을 가지고
<브이아피비>급 미치광이 재벌을
박살내는 영화"
소진,3,넘 웃기당 ㅋㅋㅋ 대사가 구리당 근데 멋있을땐 멋잇당
Beans,1.5,으. 으으.
김광현,1.5,"영화의 대사나 각본이 중2병이라고 매도하는것은 전국의 중학교 2학년들에게도 모욕적일듯 하다.

영화 내내 여백은 많은 데에 반해 그 사이를 채우는 서사나 대사들이 유치하거나 무의미한것처럼 보이다보니 장점을 찾기 어렵다.

마녀에서 김다미가 반전매력으로 좋은 캐릭터성을 보여줬다면 이 영화에서는 김선호가 그 역할을 맡았다.

23.07.05 CGV 다산"
미눙,3,맑눈광 킬러 귀공자! 갈수록 액션이 커지고 화려해지는데 마지막에 짠하고 비하인드를 보여주는 추리물 전개가 좋았다. 마녀2보단 좋았다 딱 그정도
코사리코사리사,2,중2가 영화 만들려고 하면 주인공으로 김선호 캐릭터를 제일 먼저 자신있게 만들듯
유잣차,2,스포일러가 포함되어 내용을 생략했습니다.
해리 보슈,2.5,무한 반복되는 박훈정의 멀티버스. 차분하고 진득하게 예전처럼 한 우물을 파면 어떨까.
홍또야,3,"쉴 새 없이 싸워야 한다는 강박이 있는 것처럼 싸움을 위한 싸움을 만든다. 지겨울 정도. 이렇게 몸 쓰는 액션을 많이 할거면 고아라도 싸움 하나쯤은 넣어줬어야되는게 아닌지

영화의 완성도와는 별개로 첫 등장 씬에서의 흐릿하게 나오는 담배피는 김선호의 실루엣은 너무 좋다... 안보이는데도 너무 잘생겼어

[2023.07.01 무대인사] @메가박스 코엑스"
수에여,1,"오글거리는 대사
박진감 없는 추격신"
Juuuun,2.5,타겟을 잡으면 뭐해.. 관객들을 다 놓치는데..
남국현,3,차라리 이게 마녀 유니버스에 한 축이었다면 좀더 흥미로웠을것 같다.
최진사댁,3,"멜로눈깔 장착한 촉촉한 김선우가 맑은 광기를 드러내는 영화
마지막에 모든걸 끼워맞추려는 억지력과 신파가 좀 에바임"
홍성중,3,귀엽고 잘생긴 살인자의 버킷 리스트
내맘대로,3,보는 내가 힘들다 그만 뛰어라
김슌디,2,벤츠 마세라티 그리고…제네시스…
이게뭔데,3,박훈정 나락가기 프로젝트
삼락,2.5,두 주인공의 역할 배분 및 활용에 아쉬움을 느낀다.
유일,3,"내 3점은
웃는 김선호
뛰는 김선호
그리고 피 묻은 김선호가 채웠다"
제이콥,2.5,"박훈정 감독님께 두시간동안 인질로
잡혀있다 풀려났습니다…"
김수현,3,"와. 진짜 소문대로 형편 없지만, 소문대로 (눈이) 훈훈하네-

그렇게 해사하게 웃기, 있어요 없어요, 김선호씨?!

덧.
그래도 아주 나쁘진 않습니다. 흠흠."
유신,2.5,"그냥저냥 볼만했다. 단순한 킬링타임용으로… 서사와 그에 따른 전개는 무책임하다 싶을 정도로 단조롭다.
쓸데없는 설정과 쓸모없는 캐릭터들로 인해 태운 돈들을 생각하기도 했다. 그렇게나 말아먹고서도 똥폼잡는 걸 버릴 수 없는 건가 싶은 생각 역시도."
정용원,2.5,야발 훈정이형!!
예진 ☺︎,3,스포일러가 포함되어 내용을 생략했습니다.
가니간스,3,광기의 미소만으론 채울수없는 무언가
새미,3,"김선호의 코카콜라 광고
대사들이 오글거렸다..그래서 피식 웃게 됐다
이해하려고 안하고 그냥 보면 괜찮다..!"
아기 딘딘,1.5,뇌절티비
GG,1,아진짜화가머리끝까지나네
쏘울핑거,3,매력적인 캐릭터 설정으로도 지루함을 이기기에는 힘에 부쳐 보인다.
숑숑,3,"김선호가 다했다

생각보다 안 잔인하고 유머러스해서 개인적으로는 좋았지만 청불 느와르를 기대한 사람이라면 분명 실망할 것 같다,,,

영화를 보는 이유가 김선호라면 추천 느와르라면 비추천"
홍석진,3,김선호 매드무비. 내용은 하나도 없음 그냥 편하게 보세요
